<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2017/5/15,09:16:00,97.300,97.390,97.300,97.380,278
2017/5/15,09:17:00,97.390,97.425,97.375,97.395,126
2017/5/15,09:18:00,97.390,97.430,97.385,97.430,111
2017/5/15,09:19:00,97.430,97.455,97.430,97.445,137
2017/5/15,09:20:00,97.455,97.475,97.445,97.470,211
2017/5/15,09:21:00,97.480,97.500,97.475,97.490,140
2017/5/15,09:22:00,97.485,97.495,97.465,97.465,134
2017/5/15,09:23:00,97.465,97.480,97.455,97.465,125
2017/5/15,09:24:00,97.460,97.470,97.420,97.420,129
2017/5/15,09:25:00,97.430,97.430,97.420,97.420,134
2017/5/15,09:26:00,97.425,97.440,97.420,97.425,89
2017/5/15,09:27:00,97.435,97.435,97.425,97.425,85
2017/5/15,09:28:00,97.425,97.430,97.420,97.420,40
2017/5/15,09:29:00,97.425,97.440,97.425,97.435,75
2017/5/15,09:30:00,97.435,97.440,97.430,97.435,57
2017/5/15,09:31:00,97.430,97.460,97.430,97.455,171
2017/5/15,09:32:00,97.460,97.460,97.420,97.420,119
2017/5/15,09:33:00,97.420,97.420,97.390,97.390,61
2017/5/15,09:34:00,97.395,97.410,97.390,97.410,55
2017/5/15,09:35:00,97.400,97.415,97.400,97.405,70
2017/5/15,09:36:00,97.405,97.410,97.395,97.400,92
2017/5/15,09:37:00,97.400,97.410,97.400,97.405,60
2017/5/15,09:38:00,97.400,97.400,97.365,97.365,62
2017/5/15,09:39:00,97.365,97.375,97.360,97.360,31
2017/5/15,09:40:00,97.355,97.360,97.335,97.345,185
2017/5/15,09:41:00,97.345,97.350,97.325,97.325,83
2017/5/15,09:42:00,97.330,97.340,97.325,97.340,120
2017/5/15,09:43:00,97.345,97.345,97.335,97.335,88
2017/5/15,09:44:00,97.340,97.355,97.340,97.350,117
2017/5/15,09:45:00,97.355,97.355,97.345,97.345,51
2017/5/15,09:46:00,97.345,97.370,97.345,97.365,132
2017/5/15,09:47:00,97.360,97.365,97.350,97.360,87
2017/5/15,09:48:00,97.355,97.355,97.350,97.350,28
2017/5/15,09:49:00,97.360,97.360,97.350,97.350,59
2017/5/15,09:50:00,97.355,97.355,97.330,97.345,83
2017/5/15,09:51:00,97.340,97.345,97.335,97.335,30
2017/5/15,09:52:00,97.335,97.345,97.335,97.345,24
2017/5/15,09:53:00,97.345,97.345,97.325,97.330,62
2017/5/15,09:54:00,97.325,97.330,97.315,97.320,32
2017/5/15,09:55:00,97.320,97.325,97.320,97.320,11
2017/5/15,09:56:00,97.325,97.345,97.325,97.345,84
2017/5/15,09:57:00,97.340,97.400,97.340,97.400,305
2017/5/15,09:58:00,97.395,97.410,97.370,97.410,270
2017/5/15,09:59:00,97.410,97.410,97.380,97.380,109
2017/5/15,10:00:00,97.380,97.380,97.365,97.375,69
2017/5/15,10:01:00,97.370,97.410,97.365,97.395,149
2017/5/15,10:02:00,97.395,97.400,97.380,97.390,46
2017/5/15,10:03:00,97.395,97.395,97.360,97.375,61
2017/5/15,10:04:00,97.370,97.375,97.350,97.360,67
2017/5/15,10:05:00,97.360,97.370,97.355,97.365,64
2017/5/15,10:06:00,97.375,97.375,97.360,97.365,13
2017/5/15,10:07:00,97.360,97.365,97.360,97.365,25
2017/5/15,10:08:00,97.360,97.365,97.355,97.365,30
2017/5/15,10:09:00,97.370,97.370,97.365,97.365,32
2017/5/15,10:10:00,97.360,97.365,97.360,97.360,10
2017/5/15,10:11:00,97.360,97.360,97.350,97.350,10
2017/5/15,10:12:00,97.345,97.345,97.340,97.345,10
2017/5/15,10:13:00,97.345,97.365,97.345,97.355,20
2017/5/15,10:14:00,97.355,97.355,97.305,97.325,137
2017/5/15,10:15:00,97.315,97.330,97.285,97.295,84
2017/5/15,10:16:00,97.295,97.345,97.295,97.340,147
2017/5/15,10:17:00,97.340,97.340,97.325,97.325,69
2017/5/15,10:18:00,97.325,97.325,97.315,97.320,70
2017/5/15,10:19:00,97.315,97.335,97.315,97.320,38
2017/5/15,10:20:00,97.320,97.330,97.320,97.325,26
2017/5/15,10:21:00,97.325,97.335,97.315,97.315,44
2017/5/15,10:22:00,97.325,97.330,97.320,97.325,49
2017/5/15,10:23:00,97.320,97.330,97.315,97.325,68
2017/5/15,10:24:00,97.335,97.335,97.320,97.325,94
2017/5/15,10:25:00,97.335,97.340,97.335,97.340,40
2017/5/15,10:26:00,97.340,97.345,97.340,97.345,34
2017/5/15,10:27:00,97.340,97.340,97.335,97.340,24
2017/5/15,10:28:00,97.340,97.345,97.340,97.340,63
